"StateFIPS","State","Year","Value","Data Comment",,"Sex"
"10","Delaware","2013","19.8","",,"Female"
"10","Delaware","2014","26.1","",,"Male"
"10","Delaware","2014","16.5","",,"Female"
"10","Delaware","2015","23.3","",,"Male"
"10","Delaware","2015","17.9","",,"Female"
"10","Delaware","2016","25.0","",,"Male"
"10","Delaware","2016","17.4","",,"Female"
"10","Delaware","2017","22.9","",,"Male"
"10","Delaware","2017","13.5","",,"Female"
"10","Delaware","2018","23.3","",,"Male"
"10","Delaware","2018","15.9","",,"Female"
"10","Delaware","2019","21.8","",,"Male"
"10","Delaware","2019","13.3","",,"Female"
"10","Delaware","2020","20.4","",,"Male"
"10","Delaware","2020","14.3","",,"Female"
"11","District of Columbia","2011","20.9","",,"Male"
"11","District of Columbia","2011","12.8","",,"Female"
"11","District of Columbia","2012","24.9","",,"Male"
"11","District of Columbia","2012","12.9","",,"Female"
"11","District of Columbia","2013","23.1","",,"Male"
"11","District of Columbia","2013","13.7","",,"Female"
"11","District of Columbia","2014","21.4","",,"Male"
"11","District of Columbia","2014","11.8","",,"Female"
"11","District of Columbia","2015","14.4","",,"Male"
"11","District of Columbia","2015","13.0","",,"Female"
"11","District of Columbia","2016","17.9","",,"Male"
"11","District of Columbia","2016","12.0","",,"Female"
"11","District of Columbia","2017","19.1","",,"Male"
"11","District of Columbia","2017","10.1","",,"Female"
"11","District of Columbia","2018","20.6","",,"Male"
"11","District of Columbia","2018","12.0","",,"Female"
"11","District of Columbia","2019","16.9","",,"Male"
"11","District of Columbia","2019","13.3","",,"Female"
"11","District of Columbia","2020","19.1","",,"Male"
"11","District of Columbia","2020","10.6","",,"Female"
"12","Florida","2011","29.4","",,"Male"
"12","Florida","2011","21.0","",,"Female"
"12","Florida","2012","26.4","",,"Male"
"12","Florida","2012","18.1","",,"Female"
"12","Florida","2013","30.6","",,"Male"
"12","Florida","2013","22.4","",,"Female"
"12","Florida","2014","30.0","",,"Male"
"12","Florida","2014","20.6","",,"Female"
"12","Florida","2015","30.0","",,"Male"
"12","Florida","2015","21.9","",,"Female"
"12","Florida","2016","27.6","",,"Male"
"12","Florida","2016","19.6","",,"Female"
"12","Florida","2017","26.5","",,"Male"
"12","Florida","2017","18.2","",,"Female"
"12","Florida","2018","26.5","",,"Male"
"12","Florida","2018","19.9","",,"Female"
"12","Florida","2019","25.0","",,"Male"
"12","Florida","2019","17.4","",,"Female"
"12","Florida","2020","24.3","",,"Male"
"12","Florida","2020","17.7","",,"Female"
"13","Georgia","2011","23.2","",,"Male"
"13","Georgia","2011","14.5","",,"Female"
"13","Georgia","2012","22.9","",,"Male"
"13","Georgia","2012","14.4","",,"Female"
"13","Georgia","2013","20.4","",,"Male"
"13","Georgia","2013","14.9","",,"Female"
"13","Georgia","2014","22.4","",,"Male"
"13","Georgia","2014","15.0","",,"Female"
"13","Georgia","2015","23.2","",,"Male"
"13","Georgia","2015","15.2","",,"Female"
"13","Georgia","2016","23.6","",,"Male"
"13","Georgia","2016","15.1","",,"Female"
"13","Georgia","2017","22.0","",,"Male"
"13","Georgia","2017","14.5","",,"Female"
"13","Georgia","2018","21.4","",,"Male"
"13","Georgia","2018","14.9","",,"Female"
"13","Georgia","2019","20.5","",,"Male"
"13","Georgia","2019","14.2","",,"Female"
"13","Georgia","2020","20.3","",,"Male"
"13","Georgia","2020","12.5","",,"Female"
"15","Hawaii","2011","21.5","",,"Male"
"15","Hawaii","2011","14.8","",,"Female"
"15","Hawaii","2012","23.5","",,"Male"
"15","Hawaii","2012","13.7","",,"Female"
"15","Hawaii","2013","21.8","",,"Male"
"15","Hawaii","2013","14.2","",,"Female"
"15","Hawaii","2014","21.0","",,"Male"
"15","Hawaii","2014","15.5","",,"Female"
"15","Hawaii","2015","18.4","",,"Male"
"15","Hawaii","2015","12.4","",,"Female"
"15","Hawaii","2016","17.4","",,"Male"
"15","Hawaii","2016","12.5","",,"Female"
"15","Hawaii","2017","21.1","",,"Male"
"15","Hawaii","2017","13.4","",,"Female"
"15","Hawaii","2018","18.0","",,"Male"
"15","Hawaii","2018","12.3","",,"Female"
"15","Hawaii","2019","18.2","",,"Male"
"15","Hawaii","2019","11.5","",,"Female"
"15","Hawaii","2020","14.9","",,"Male"
"15","Hawaii","2020","12.6","",,"Female"
"16","Idaho","2011","23.1","",,"Male"
"16","Idaho","2011","15.8","",,"Female"
"16","Idaho","2012","21.0","",,"Male"
"16","Idaho","2012","15.3","",,"Female"
"16","Idaho","2013","19.6","",,"Male"
"16","Idaho","2013","15.9","",,"Female"
"16","Idaho","2014","26.5","",,"Male"
"16","Idaho","2014","15.1","",,"Female"
"16","Idaho","2015","24.0","",,"Male"
"16","Idaho","2015","17.6","",,"Female"
"16","Idaho","2016","25.1","",,"Male"
"16","Idaho","2016","17.4","",,"Female"
"16","Idaho","2017","22.5","",,"Male"
"16","Idaho","2017","14.8","",,"Female"
"16","Idaho","2018","22.3","",,"Male"
"16","Idaho","2018","14.5","",,"Female"
"16","Idaho","2019","23.1","",,"Male"
"16","Idaho","2019","16.6","",,"Female"
"16","Idaho","2020","23.5","",,"Male"
"16","Idaho","2020","14.2","",,"Female"
"17","Illinois","2011","23.6","",,"Male"
"17","Illinois","2011","16.7","",,"Female"
"17","Illinois","2012","23.0","",,"Male"
"17","Illinois","2012","16.3","",,"Female"
"17","Illinois","2013","24.0","",,"Male"
"17","Illinois","2013","15.6","",,"Female"
"17","Illinois","2014","23.7","",,"Male"
"17","Illinois","2014","17.2","",,"Female"
"17","Illinois","2015","24.5","",,"Male"
"17","Illinois","2015","16.7","",,"Female"
"17","Illinois","2016","23.6","",,"Male"
"17","Illinois","2016","16.9","",,"Female"
"17","Illinois","2017","24.2","",,"Male"
"17","Illinois","2017","16.1","",,"Female"
"17","Illinois","2018","22.1","",,"Male"
"17","Illinois","2018","16.2","",,"Female"
"17","Illinois","2019","23.6","",,"Male"
"17","Illinois","2019","16.3","",,"Female"
"17","Illinois","2020","21.3","",,"Male"
"17","Illinois","2020","14.2","",,"Female"
"18","Indiana","2011","23.9","",,"Male"
"18","Indiana","2011","16.5","",,"Female"
"18","Indiana","2012","24.3","",,"Male"
"18","Indiana","2012","15.6","",,"Female"
"18","Indiana","2013","22.8","",,"Male"
"18","Indiana","2013","15.9","",,"Female"
"18","Indiana","2014","22.3","",,"Male"
"18","Indiana","2014","16.3","",,"Female"
"18","Indiana","2015","23.3","",,"Male"
"18","Indiana","2015","16.7","",,"Female"
"18","Indiana","2017","23.6","",,"Male"
"18","Indiana","2017","15.9","",,"Female"
"18","Indiana","2018","22.2","",,"Male"
"18","Indiana","2018","15.3","",,"Female"
"18","Indiana","2019","20.8","",,"Male"
"18","Indiana","2019","14.3","",,"Female"
"19","Iowa","2011","26.2","",,"Male"
"19","Iowa","2011","18.1","",,"Female"
"19","Iowa","2012","27.3","",,"Male"
"19","Iowa","2012","18.7","",,"Female"
"19","Iowa","2013","25.4","",,"Male"
"19","Iowa","2013","18.2","",,"Female"
"19","Iowa","2014","27.6","",,"Male"
"19","Iowa","2014","17.2","",,"Female"
"19","Iowa","2015","27.1","",,"Male"
"19","Iowa","2015","17.6","",,"Female"
"19","Iowa","2016","23.9","",,"Male"
"19","Iowa","2016","17.4","",,"Female"
"19","Iowa","2017","26.4","",,"Male"
"19","Iowa","2017","17.2","",,"Female"
"19","Iowa","2018","26.3","",,"Male"
"19","Iowa","2018","17.7","",,"Female"
"19","Iowa","2019","26.0","",,"Male"
"19","Iowa","2019","17.6","",,"Female"
"19","Iowa","2020","24.5","",,"Male"
"19","Iowa","2020","18.8","",,"Female"
"21","Kentucky","2011","22.3","",,"Male"
"21","Kentucky","2011","16.8","",,"Female"
"21","Kentucky","2012","26.7","",,"Male"
"21","Kentucky","2012","17.4","",,"Female"
"21","Kentucky","2013","26.7","",,"Male"
"21","Kentucky","2013","17.0","",,"Female"
"21","Kentucky","2014","25.5","",,"Male"
"21","Kentucky","2014","15.3","",,"Female"
"21","Kentucky","2015","23.2","",,"Male"
"21","Kentucky","2015","16.3","",,"Female"
"21","Kentucky","2016","24.8","",,"Male"
"21","Kentucky","2016","17.5","",,"Female"
"21","Kentucky","2017","23.4","",,"Male"
"21","Kentucky","2017","17.1","",,"Female"
"21","Kentucky","2018","23.6","",,"Male"
"21","Kentucky","2018","16.8","",,"Female"
"21","Kentucky","2019","22.9","",,"Male"
"21","Kentucky","2019","16.2","",,"Female"
"21","Kentucky","2020","23.0","",,"Male"
"21","Kentucky","2020","16.1","",,"Female"
"22","Louisiana","2011","24.1","",,"Male"
"22","Louisiana","2011","17.6","",,"Female"
"22","Louisiana","2012","25.6","",,"Male"
"22","Louisiana","2012","17.2","",,"Female"
"22","Louisiana","2013","22.8","",,"Male"
"22","Louisiana","2013","16.5","",,"Female"
"22","Louisiana","2014","24.3","",,"Male"
"22","Louisiana","2014","17.2","",,"Female"
"22","Louisiana","2015","24.0","",,"Male"
"22","Louisiana","2015","15.5","",,"Female"
"22","Louisiana","2016","22.6","",,"Male"
"22","Louisiana","2016","15.3","",,"Female"
"22","Louisiana","2017","23.7","",,"Male"
"22","Louisiana","2017","15.6","",,"Female"
"22","Louisiana","2018","21.7","",,"Male"
"22","Louisiana","2018","15.6","",,"Female"
"22","Louisiana","2019","22.2","",,"Male"
"22","Louisiana","2019","17.0","",,"Female"
"22","Louisiana","2020","21.0","",,"Male"
"22","Louisiana","2020","14.5","",,"Female"
"23","Maine","2011","22.4","",,"Male"
"23","Maine","2011","18.1","",,"Female"
"23","Maine","2012","22.5","",,"Male"
"23","Maine","2012","17.4","",,"Female"
