"StateFIPS","State","Year","Value","Data Comment",
"23","Maine","2018","20.2","",
"23","Maine","2019","19.2","",
"23","Maine","2020","19.5","",
"24","Maryland","2011","17.3","",
"24","Maryland","2012","16.8","",
"24","Maryland","2013","19.0","",
"24","Maryland","2014","17.4","",
"24","Maryland","2015","16.9","",
"24","Maryland","2016","18.5","",
"24","Maryland","2017","19.0","",
"24","Maryland","2018","17.9","",
"24","Maryland","2019","18.1","",
"24","Maryland","2020","16.5","",
"25","Massachusetts","2011","18.8","",
"25","Massachusetts","2012","20.2","",
"25","Massachusetts","2013","20.1","",
"25","Massachusetts","2014","19.7","",
"25","Massachusetts","2015","19.5","",
"25","Massachusetts","2016","19.4","",
"25","Massachusetts","2017","19.3","",
"25","Massachusetts","2018","19.5","",
"25","Massachusetts","2019","20.1","",
"25","Massachusetts","2020","18.2","",
"26","Michigan","2011","20.1","",
"26","Michigan","2012","20.7","",
"26","Michigan","2013","20.5","",
"26","Michigan","2014","19.3","",
"26","Michigan","2015","21.1","",
"26","Michigan","2016","20.8","",
"26","Michigan","2017","19.5","",
"26","Michigan","2018","20.0","",
"26","Michigan","2019","19.4","",
"26","Michigan","2020","16.6","",
"27","Minnesota","2011","23.5","",
"27","Minnesota","2012","22.4","",
"27","Minnesota","2013","21.2","",
"27","Minnesota","2014","21.4","",
"27","Minnesota","2015","21.8","",
"27","Minnesota","2016","21.5","",
"27","Minnesota","2017","21.8","",
"27","Minnesota","2018","22.4","",
"27","Minnesota","2019","23.9","",
"27","Minnesota","2020","20.6","",
"28","Mississippi","2011","16.9","",
"28","Mississippi","2012","17.7","",
"28","Mississippi","2013","16.8","",
"28","Mississippi","2014","17.7","",
"28","Mississippi","2015","16.7","",
"28","Mississippi","2016","16.9","",
"28","Mississippi","2017","16.8","",
"28","Mississippi","2018","17.2","",
"28","Mississippi","2019","17.5","",
"28","Mississippi","2020","13.6","",
"29","Missouri","2011","18.3","",
"29","Missouri","2012","18.8","",
"29","Missouri","2013","18.6","",
"29","Missouri","2014","18.5","",
"29","Missouri","2015","18.8","",
"29","Missouri","2016","19.0","",
"29","Missouri","2017","18.5","",
"29","Missouri","2018","18.1","",
"29","Missouri","2019","18.2","",
"29","Missouri","2020","17.9","",
"30","Montana","2011","19.9","",
"30","Montana","2012","20.0","",
"30","Montana","2013","20.7","",
"30","Montana","2014","19.5","",
"30","Montana","2015","17.6","",
"30","Montana","2016","18.5","",
"30","Montana","2017","19.4","",
"30","Montana","2018","18.0","",
"30","Montana","2019","16.4","",
"30","Montana","2020","17.9","",
"31","Nebraska","2011","21.8","",
"31","Nebraska","2012","19.7","",
"31","Nebraska","2013","21.9","",
"31","Nebraska","2014","18.9","",
"31","Nebraska","2015","20.5","",
"31","Nebraska","2016","19.4","",
"31","Nebraska","2017","22.5","",
"31","Nebraska","2018","19.7","",
"31","Nebraska","2019","20.0","",
"31","Nebraska","2020","16.1","",
"32","Nevada","2011","17.1","",
"32","Nevada","2012","16.1","",
"32","Nevada","2013","16.1","",
"32","Nevada","2014","14.7","",
"32","Nevada","2015","14.9","",
"32","Nevada","2016","16.0","",
"32","Nevada","2017","16.8","",
"32","Nevada","2018","14.0","",
"32","Nevada","2019","13.3","",
"33","New Hampshire","2011","21.6","",
"33","New Hampshire","2012","21.7","",
"33","New Hampshire","2013","21.0","",
"33","New Hampshire","2014","19.5","",
"33","New Hampshire","2015","20.3","",
"33","New Hampshire","2016","24.2","",
"33","New Hampshire","2017","20.6","",
"33","New Hampshire","2018","19.9","",
"33","New Hampshire","2019","22.4","",
"33","New Hampshire","2020","18.5","",
"34","New Jersey","2011","21.7","",
"34","New Jersey","2012","21.5","",
"34","New Jersey","2013","21.5","",
"34","New Jersey","2014","21.5","",
"34","New Jersey","2015","22.6","",
"34","New Jersey","2016","22.2","",
"34","New Jersey","2017","21.8","",
"34","New Jersey","2018","22.5","",
"34","New Jersey","2019","21.5","",
"34","New Jersey","2020","19.2","",
"35","New Mexico","2011","13.8","",
"35","New Mexico","2012","17.5","",
"35","New Mexico","2013","14.9","",
"35","New Mexico","2014","17.6","",
"35","New Mexico","2015","15.0","",
"35","New Mexico","2016","15.1","",
"35","New Mexico","2017","14.5","",
"35","New Mexico","2018","14.9","",
"35","New Mexico","2019","15.0","",
"35","New Mexico","2020","12.8","",
"36","New York","2011","22.0","",
"36","New York","2012","21.5","",
"36","New York","2013","21.9","",
