"StateFIPS","State","Year","Value","Data Comment",
"23","Maine","2018","7.8","",
"23","Maine","2019","5.9","",
"23","Maine","2020","7.4","",
"24","Maryland","2011","6.4","",
"24","Maryland","2012","6.7","",
"24","Maryland","2013","6.6","",
"24","Maryland","2014","6.2","",
"24","Maryland","2015","5.8","",
"24","Maryland","2016","6.6","",
"24","Maryland","2017","6.2","",
"24","Maryland","2018","5.7","",
"24","Maryland","2019","7.0","",
"24","Maryland","2020","6.3","",
"25","Massachusetts","2011","7.0","",
"25","Massachusetts","2012","6.4","",
"25","Massachusetts","2013","7.6","",
"25","Massachusetts","2014","6.5","",
"25","Massachusetts","2015","6.9","",
"25","Massachusetts","2016","7.5","",
"25","Massachusetts","2017","7.2","",
"25","Massachusetts","2018","7.3","",
"25","Massachusetts","2019","6.8","",
"25","Massachusetts","2020","6.7","",
"26","Michigan","2011","7.0","",
"26","Michigan","2012","6.8","",
"26","Michigan","2013","6.4","",
"26","Michigan","2014","6.7","",
"26","Michigan","2015","6.6","",
"26","Michigan","2016","6.9","",
"26","Michigan","2017","6.4","",
"26","Michigan","2018","6.6","",
"26","Michigan","2019","6.0","",
"26","Michigan","2020","6.0","",
"27","Minnesota","2011","7.0","",
"27","Minnesota","2012","7.7","",
"27","Minnesota","2013","6.7","",
"27","Minnesota","2014","7.6","",
"27","Minnesota","2015","7.7","",
"27","Minnesota","2016","7.0","",
"27","Minnesota","2017","7.2","",
"27","Minnesota","2018","7.4","",
"27","Minnesota","2019","7.3","",
"27","Minnesota","2020","6.7","",
"28","Mississippi","2011","6.4","",
"28","Mississippi","2012","6.6","",
"28","Mississippi","2013","6.1","",
"28","Mississippi","2014","6.8","",
"28","Mississippi","2015","5.5","",
"28","Mississippi","2016","6.1","",
"28","Mississippi","2017","6.1","",
"28","Mississippi","2018","5.3","",
"28","Mississippi","2019","6.2","",
"28","Mississippi","2020","5.1","",
"29","Missouri","2011","6.4","",
"29","Missouri","2012","7.1","",
"29","Missouri","2013","6.5","",
"29","Missouri","2014","7.1","",
"29","Missouri","2015","6.8","",
"29","Missouri","2016","6.6","",
"29","Missouri","2017","7.1","",
"29","Missouri","2018","6.4","",
"29","Missouri","2019","6.9","",
"29","Missouri","2020","6.5","",
"30","Montana","2011","8.1","",
"30","Montana","2012","7.7","",
"30","Montana","2013","7.5","",
"30","Montana","2014","8.0","",
"30","Montana","2015","7.9","",
"30","Montana","2016","7.5","",
"30","Montana","2017","6.6","",
"30","Montana","2018","7.9","",
"30","Montana","2019","7.5","",
"30","Montana","2020","6.8","",
